party_id,party_number,party_name,party_type,tax_reference,country_code,province,city,industry_code,customer_size,risk_level,status,created_date,last_update_date
100000001,PTY100000001,深圳启元供应链科技有限公司,ORGANIZATION,9144354342113419,CN,广东省,深圳市,科技,MEDIUM,LOW,ACTIVE,2026-02-26 23:55:00,2026-02-26 23:55:00
100000002,PTY100000002,杭州智联贸易制造有限公司,ORGANIZATION,9144985899371430,CN,江苏省,苏州市,科技,KEY,LOW,ACTIVE,2025-03-28 12:22:00,2025-03-28 12:22:00
100000003,PTY100000003,深圳嘉禾医疗有限公司,ORGANIZATION,9144488136971784,CN,广东省,深圳市,供应链,LARGE,MEDIUM,ACTIVE,2023-11-27 12:50:00,2023-11-27 12:50:00
100000004,PTY100000004,上海嘉禾贸易有限公司,ORGANIZATION,9144446680801999,CN,广东省,深圳市,供应链,KEY,LOW,ACTIVE,2025-08-26 05:04:00,2025-08-26 05:04:00
100000005,PTY100000005,北京华盛物流制造有限公司,ORGANIZATION,9144274493552068,CN,浙江省,杭州市,物流,SMALL,LOW,ACTIVE,2026-02-10 20:51:00,2026-02-10 20:51:00
100000006,PTY100000006,上海启元贸易有限公司,ORGANIZATION,9144653930041483,CN,浙江省,杭州市,制造,SMALL,LOW,ACTIVE,2023-10-16 00:44:00,2023-10-16 00:44:00
100000007,PTY100000007,上海恒越材料有限公司,ORGANIZATION,9144903526763113,CN,江苏省,苏州市,材料,SMALL,LOW,ACTIVE,2023-10-13 05:55:00,2023-10-13 05:55:00
100000008,PTY100000008,北京嘉禾供应链制造有限公司,ORGANIZATION,9144744335435865,CN,江苏省,苏州市,供应链,MEDIUM,LOW,ACTIVE,2025-08-12 21:39:00,2025-08-12 21:39:00
100000009,PTY100000009,北京嘉禾制造贸易有限公司,ORGANIZATION,9144565378164447,CN,浙江省,杭州市,物流,KEY,LOW,ACTIVE,2025-12-21 02:33:00,2025-12-21 02:33:00
100000010,PTY100000010,北京远辰物流科技有限公司,ORGANIZATION,9144281403868608,CN,浙江省,杭州市,物流,KEY,LOW,ACTIVE,2024-09-13 20:57:00,2024-09-13 20:57:00
100000011,PTY100000011,上海安拓制造科技有限公司,ORGANIZATION,9144651803604970,CN,广东省,深圳市,制造,SMALL,LOW,ACTIVE,2026-01-31 22:23:00,2026-01-31 22:23:00
100000012,PTY100000012,上海嘉禾科技贸易有限公司,ORGANIZATION,9144363342414490,CN,上海市,上海市,医疗,KEY,LOW,ACTIVE,2025-09-02 02:15:00,2025-09-02 02:15:00
100000013,PTY100000013,深圳融信供应链贸易有限公司,ORGANIZATION,9144875427216652,CN,江苏省,苏州市,医疗,SMALL,LOW,ACTIVE,2025-10-20 09:07:00,2025-10-20 09:07:00
100000014,PTY100000014,上海远辰医疗制造有限公司,ORGANIZATION,9144566580698915,CN,江苏省,苏州市,医疗,SMALL,LOW,ACTIVE,2025-07-16 22:55:00,2025-07-16 22:55:00
100000015,PTY100000015,杭州融信科技制造有限公司,ORGANIZATION,9144329170045638,CN,浙江省,杭州市,供应链,SMALL,LOW,ACTIVE,2025-03-22 22:03:00,2025-03-22 22:03:00
100000016,PTY100000016,杭州智联科技科技有限公司,ORGANIZATION,9144342539766821,CN,江苏省,苏州市,供应链,KEY,MEDIUM,ACTIVE,2024-01-14 01:54:00,2024-01-14 01:54:00
100000017,PTY100000017,苏州恒越物流贸易有限公司,ORGANIZATION,9144579303623884,CN,广东省,深圳市,贸易,LARGE,LOW,ACTIVE,2025-07-02 22:54:00,2025-07-02 22:54:00
100000018,PTY100000018,黄军勇,ORGANIZATION,9144866232475190,CN,广东省,深圳市,医疗,MEDIUM,LOW,ACTIVE,2024-05-17 10:40:00,2024-05-17 10:40:00
100000019,PTY100000019,苏州启元供应链供应链有限公司,ORGANIZATION,9144621886518414,CN,上海市,上海市,制造,SMALL,MEDIUM,ACTIVE,2025-01-02 02:47:00,2025-01-02 02:47:00
100000020,PTY100000020,深圳嘉禾材料贸易有限公司,ORGANIZATION,9144523897613735,CN,广东省,深圳市,材料,KEY,MEDIUM,ACTIVE,2024-08-18 17:15:00,2024-08-18 17:15:00
100000021,PTY100000021,上海嘉禾电子供应链有限公司,ORGANIZATION,9144570319440963,CN,北京市,北京市,材料,MEDIUM,LOW,ACTIVE,2025-01-01 04:08:00,2025-01-01 04:08:00
100000022,PTY100000022,杭州启元材料有限公司,ORGANIZATION,9144521900055512,CN,浙江省,杭州市,制造,MEDIUM,MEDIUM,ACTIVE,2026-01-07 19:51:00,2026-01-07 19:51:00
100000023,PTY100000023,上海云启物流供应链有限公司,ORGANIZATION,9144700155683410,CN,江苏省,苏州市,供应链,KEY,LOW,ACTIVE,2025-01-25 06:13:00,2025-01-25 06:13:00
100000024,PTY100000024,杭州华盛科技供应链有限公司,ORGANIZATION,9144458110524275,CN,广东省,深圳市,供应链,KEY,LOW,ACTIVE,2025-09-25 22:44:00,2025-09-25 22:44:00
100000025,PTY100000025,深圳恒越供应链有限公司,ORGANIZATION,9144238463496194,CN,广东省,深圳市,材料,SMALL,MEDIUM,ACTIVE,2026-03-10 04:51:00,2026-03-10 04:51:00
100000026,PTY100000026,杭州启元电子贸易有限公司,ORGANIZATION,9144368981957930,CN,江苏省,苏州市,电子,LARGE,LOW,ACTIVE,2025-09-08 21:23:00,2025-09-08 21:23:00
100000027,PTY100000027,深圳融信贸易有限公司,ORGANIZATION,9144577398461838,CN,北京市,北京市,制造,LARGE,MEDIUM,ACTIVE,2024-06-18 09:15:00,2024-06-18 09:15:00
100000028,PTY100000028,北京嘉禾材料贸易有限公司,ORGANIZATION,9144487458104455,CN,北京市,北京市,医疗,LARGE,LOW,ACTIVE,2025-05-02 18:29:00,2025-05-02 18:29:00
100000029,PTY100000029,杭州安拓材料供应链有限公司,ORGANIZATION,9144506224688058,CN,广东省,深圳市,材料,LARGE,MEDIUM,ACTIVE,2025-07-24 14:18:00,2025-07-24 14:18:00
100000030,PTY100000030,苏州明川制造科技有限公司,ORGANIZATION,9144294823500706,CN,北京市,北京市,医疗,SMALL,LOW,ACTIVE,2025-09-13 14:46:00,2025-09-13 14:46:00
100000031,PTY100000031,北京明川科技贸易有限公司,ORGANIZATION,9144172250436572,CN,北京市,北京市,物流,KEY,LOW,ACTIVE,2025-07-15 08:53:00,2025-07-15 08:53:00
100000032,PTY100000032,北京华盛供应链贸易有限公司,ORGANIZATION,9144915872454727,CN,北京市,北京市,电子,MEDIUM,LOW,ACTIVE,2024-07-03 22:21:00,2024-07-03 22:21:00
100000033,PTY100000033,上海安拓医疗有限公司,ORGANIZATION,9144790593150547,CN,江苏省,苏州市,供应链,KEY,LOW,ACTIVE,2025-08-03 15:10:00,2025-08-03 15:10:00
100000034,PTY100000034,上海启元材料有限公司,ORGANIZATION,9144187779505945,CN,江苏省,苏州市,科技,KEY,LOW,ACTIVE,2024-11-03 06:29:00,2024-11-03 06:29:00
100000035,PTY100000035,深圳启元科技科技有限公司,ORGANIZATION,9144484270768628,CN,北京市,北京市,物流,LARGE,LOW,ACTIVE,2024-06-18 08:55:00,2024-06-18 08:55:00
100000036,PTY100000036,张勇静,ORGANIZATION,9144667741343954,CN,北京市,北京市,贸易,KEY,HIGH,ACTIVE,2024-12-12 10:57:00,2024-12-12 10:57:00
100000037,PTY100000037,上海嘉禾制造制造有限公司,ORGANIZATION,9144646122147534,CN,上海市,上海市,医疗,LARGE,LOW,ACTIVE,2025-12-04 09:53:00,2025-12-04 09:53:00
100000038,PTY100000038,杭州明川医疗供应链有限公司,ORGANIZATION,9144825844758573,CN,上海市,上海市,材料,MEDIUM,LOW,ACTIVE,2025-05-29 05:23:00,2025-05-29 05:23:00
100000039,PTY100000039,杭州华盛物流科技有限公司,ORGANIZATION,9144830094678828,CN,北京市,北京市,制造,KEY,MEDIUM,ACTIVE,2024-04-07 11:36:00,2024-04-07 11:36:00
100000040,PTY100000040,北京云启制造供应链有限公司,ORGANIZATION,9144814671749013,CN,浙江省,杭州市,电子,LARGE,MEDIUM,ACTIVE,2025-04-18 04:16:00,2025-04-18 04:16:00
100000041,PTY100000041,苏州嘉禾电子供应链有限公司,ORGANIZATION,9144163548952306,CN,广东省,深圳市,医疗,LARGE,HIGH,ACTIVE,2026-03-01 22:40:00,2026-03-01 22:40:00
100000042,PTY100000042,北京华盛供应链供应链有限公司,ORGANIZATION,9144614556980960,CN,浙江省,杭州市,医疗,MEDIUM,HIGH,ACTIVE,2024-12-15 15:18:00,2024-12-15 15:18:00
100000043,PTY100000043,北京安拓电子科技有限公司,ORGANIZATION,9144109768818868,CN,江苏省,苏州市,科技,KEY,LOW,ACTIVE,2026-03-08 02:35:00,2026-03-08 02:35:00
100000044,PTY100000044,杭州明川科技制造有限公司,ORGANIZATION,9144558476939238,CN,广东省,深圳市,制造,MEDIUM,MEDIUM,ACTIVE,2025-12-28 14:40:00,2025-12-28 14:40:00
