cust_account_id,party_id,account_number,account_name,payment_term_code,region_code,account_status
300000001,100000001,CUST300000001,深圳启元供应链科技有限公司,NET60,深圳,ACTIVE
300000002,100000002,CUST300000002,杭州智联贸易制造有限公司,NET60,苏州,ACTIVE
300000003,100000003,CUST300000003,深圳嘉禾医疗有限公司,NET60,深圳,ACTIVE
300000004,100000004,CUST300000004,上海嘉禾贸易有限公司,NET30,深圳,ACTIVE
300000005,100000005,CUST300000005,北京华盛物流制造有限公司,NET30,杭州,ACTIVE
300000006,100000006,CUST300000006,上海启元贸易有限公司,PREPAID,杭州,ACTIVE
300000007,100000007,CUST300000007,上海恒越材料有限公司,PREPAID,苏州,ACTIVE
300000008,100000008,CUST300000008,北京嘉禾供应链制造有限公司,NET30,苏州,ACTIVE
300000009,100000009,CUST300000009,北京嘉禾制造贸易有限公司,PREPAID,杭州,ACTIVE
300000010,100000010,CUST300000010,北京远辰物流科技有限公司,NET30,杭州,ACTIVE
300000011,100000011,CUST300000011,上海安拓制造科技有限公司,PREPAID,深圳,ACTIVE
300000012,100000012,CUST300000012,上海嘉禾科技贸易有限公司,NET30,上海,ACTIVE
300000013,100000013,CUST300000013,深圳融信供应链贸易有限公司,NET60,苏州,ACTIVE
300000014,100000014,CUST300000014,上海远辰医疗制造有限公司,NET30,苏州,ACTIVE
300000015,100000015,CUST300000015,杭州融信科技制造有限公司,NET30,杭州,ACTIVE
300000016,100000016,CUST300000016,杭州智联科技科技有限公司,NET30,苏州,ACTIVE
300000017,100000017,CUST300000017,苏州恒越物流贸易有限公司,NET30,深圳,ACTIVE
300000018,100000018,CUST300000018,黄军勇,NET30,深圳,ACTIVE
300000019,100000019,CUST300000019,苏州启元供应链供应链有限公司,NET30,上海,ACTIVE
300000020,100000020,CUST300000020,深圳嘉禾材料贸易有限公司,NET30,深圳,ACTIVE
300000021,100000021,CUST300000021,上海嘉禾电子供应链有限公司,NET60,北京,ACTIVE
300000022,100000022,CUST300000022,杭州启元材料有限公司,NET30,杭州,ACTIVE
300000023,100000023,CUST300000023,上海云启物流供应链有限公司,NET30,苏州,ACTIVE
300000024,100000024,CUST300000024,杭州华盛科技供应链有限公司,NET30,深圳,ACTIVE
300000025,100000025,CUST300000025,深圳恒越供应链有限公司,NET60,深圳,ACTIVE
300000026,100000026,CUST300000026,杭州启元电子贸易有限公司,PREPAID,苏州,ACTIVE
300000027,100000027,CUST300000027,深圳融信贸易有限公司,NET60,北京,ACTIVE
300000028,100000028,CUST300000028,北京嘉禾材料贸易有限公司,NET30,北京,ACTIVE
300000029,100000029,CUST300000029,杭州安拓材料供应链有限公司,NET30,深圳,ACTIVE
300000030,100000030,CUST300000030,苏州明川制造科技有限公司,NET60,北京,ACTIVE
300000031,100000031,CUST300000031,北京明川科技贸易有限公司,NET30,北京,ACTIVE
300000032,100000032,CUST300000032,北京华盛供应链贸易有限公司,NET60,北京,ACTIVE
300000033,100000033,CUST300000033,上海安拓医疗有限公司,NET30,苏州,ACTIVE
300000034,100000034,CUST300000034,上海启元材料有限公司,NET60,苏州,ACTIVE
300000035,100000035,CUST300000035,深圳启元科技科技有限公司,NET30,北京,ACTIVE
300000036,100000036,CUST300000036,张勇静,NET60,北京,ACTIVE
