party_id,party_name,party_type,tax_reference,industry_code,customer_size,risk_level,province,city,status
100000001,深圳启元供应链科技有限公司,ORGANIZATION,9144354342113419,科技,MEDIUM,LOW,广东省,深圳市,ACTIVE
100000002,杭州智联贸易制造有限公司,ORGANIZATION,9144985899371430,科技,KEY,LOW,江苏省,苏州市,ACTIVE
100000003,深圳嘉禾医疗有限公司,ORGANIZATION,9144488136971784,供应链,LARGE,MEDIUM,广东省,深圳市,ACTIVE
100000004,上海嘉禾贸易有限公司,ORGANIZATION,9144446680801999,供应链,KEY,LOW,广东省,深圳市,ACTIVE
100000005,北京华盛物流制造有限公司,ORGANIZATION,9144274493552068,物流,SMALL,LOW,浙江省,杭州市,ACTIVE
100000006,上海启元贸易有限公司,ORGANIZATION,9144653930041483,制造,SMALL,LOW,浙江省,杭州市,ACTIVE
100000007,上海恒越材料有限公司,ORGANIZATION,9144903526763113,材料,SMALL,LOW,江苏省,苏州市,ACTIVE
100000008,北京嘉禾供应链制造有限公司,ORGANIZATION,9144744335435865,供应链,MEDIUM,LOW,江苏省,苏州市,ACTIVE
100000009,北京嘉禾制造贸易有限公司,ORGANIZATION,9144565378164447,物流,KEY,LOW,浙江省,杭州市,ACTIVE
100000010,北京远辰物流科技有限公司,ORGANIZATION,9144281403868608,物流,KEY,LOW,浙江省,杭州市,ACTIVE
100000011,上海安拓制造科技有限公司,ORGANIZATION,9144651803604970,制造,SMALL,LOW,广东省,深圳市,ACTIVE
100000012,上海嘉禾科技贸易有限公司,ORGANIZATION,9144363342414490,医疗,KEY,LOW,上海市,上海市,ACTIVE
100000013,深圳融信供应链贸易有限公司,ORGANIZATION,9144875427216652,医疗,SMALL,LOW,江苏省,苏州市,ACTIVE
100000014,上海远辰医疗制造有限公司,ORGANIZATION,9144566580698915,医疗,SMALL,LOW,江苏省,苏州市,ACTIVE
100000015,杭州融信科技制造有限公司,ORGANIZATION,9144329170045638,供应链,SMALL,LOW,浙江省,杭州市,ACTIVE
100000016,杭州智联科技科技有限公司,ORGANIZATION,9144342539766821,供应链,KEY,MEDIUM,江苏省,苏州市,ACTIVE
100000017,苏州恒越物流贸易有限公司,ORGANIZATION,9144579303623884,贸易,LARGE,LOW,广东省,深圳市,ACTIVE
100000018,黄军勇,ORGANIZATION,9144866232475190,医疗,MEDIUM,LOW,广东省,深圳市,ACTIVE
100000019,苏州启元供应链供应链有限公司,ORGANIZATION,9144621886518414,制造,SMALL,MEDIUM,上海市,上海市,ACTIVE
100000020,深圳嘉禾材料贸易有限公司,ORGANIZATION,9144523897613735,材料,KEY,MEDIUM,广东省,深圳市,ACTIVE
100000021,上海嘉禾电子供应链有限公司,ORGANIZATION,9144570319440963,材料,MEDIUM,LOW,北京市,北京市,ACTIVE
100000022,杭州启元材料有限公司,ORGANIZATION,9144521900055512,制造,MEDIUM,MEDIUM,浙江省,杭州市,ACTIVE
100000023,上海云启物流供应链有限公司,ORGANIZATION,9144700155683410,供应链,KEY,LOW,江苏省,苏州市,ACTIVE
100000024,杭州华盛科技供应链有限公司,ORGANIZATION,9144458110524275,供应链,KEY,LOW,广东省,深圳市,ACTIVE
100000025,深圳恒越供应链有限公司,ORGANIZATION,9144238463496194,材料,SMALL,MEDIUM,广东省,深圳市,ACTIVE
100000026,杭州启元电子贸易有限公司,ORGANIZATION,9144368981957930,电子,LARGE,LOW,江苏省,苏州市,ACTIVE
100000027,深圳融信贸易有限公司,ORGANIZATION,9144577398461838,制造,LARGE,MEDIUM,北京市,北京市,ACTIVE
100000028,北京嘉禾材料贸易有限公司,ORGANIZATION,9144487458104455,医疗,LARGE,LOW,北京市,北京市,ACTIVE
100000029,杭州安拓材料供应链有限公司,ORGANIZATION,9144506224688058,材料,LARGE,MEDIUM,广东省,深圳市,ACTIVE
100000030,苏州明川制造科技有限公司,ORGANIZATION,9144294823500706,医疗,SMALL,LOW,北京市,北京市,ACTIVE
100000031,北京明川科技贸易有限公司,ORGANIZATION,9144172250436572,物流,KEY,LOW,北京市,北京市,ACTIVE
100000032,北京华盛供应链贸易有限公司,ORGANIZATION,9144915872454727,电子,MEDIUM,LOW,北京市,北京市,ACTIVE
100000033,上海安拓医疗有限公司,ORGANIZATION,9144790593150547,供应链,KEY,LOW,江苏省,苏州市,ACTIVE
100000034,上海启元材料有限公司,ORGANIZATION,9144187779505945,科技,KEY,LOW,江苏省,苏州市,ACTIVE
100000035,深圳启元科技科技有限公司,ORGANIZATION,9144484270768628,物流,LARGE,LOW,北京市,北京市,ACTIVE
100000036,张勇静,ORGANIZATION,9144667741343954,贸易,KEY,HIGH,北京市,北京市,ACTIVE
100000037,上海嘉禾制造制造有限公司,ORGANIZATION,9144646122147534,医疗,LARGE,LOW,上海市,上海市,ACTIVE
100000038,杭州明川医疗供应链有限公司,ORGANIZATION,9144825844758573,材料,MEDIUM,LOW,上海市,上海市,ACTIVE
100000039,杭州华盛物流科技有限公司,ORGANIZATION,9144830094678828,制造,KEY,MEDIUM,北京市,北京市,ACTIVE
100000040,北京云启制造供应链有限公司,ORGANIZATION,9144814671749013,电子,LARGE,MEDIUM,浙江省,杭州市,ACTIVE
100000041,苏州嘉禾电子供应链有限公司,ORGANIZATION,9144163548952306,医疗,LARGE,HIGH,广东省,深圳市,ACTIVE
100000042,北京华盛供应链供应链有限公司,ORGANIZATION,9144614556980960,医疗,MEDIUM,HIGH,浙江省,杭州市,ACTIVE
100000043,北京安拓电子科技有限公司,ORGANIZATION,9144109768818868,科技,KEY,LOW,江苏省,苏州市,ACTIVE
100000044,杭州明川科技制造有限公司,ORGANIZATION,9144558476939238,制造,MEDIUM,MEDIUM,广东省,深圳市,ACTIVE
100000045,苏州恒越电子供应链有限公司,ORGANIZATION,9144967971241676,物流,SMALL,HIGH,浙江省,杭州市,ACTIVE
