employee_id,employee_no,employee_name,department_name,role_code,title_name,region_code,status
800000001,EMP800000001,周颖杰,华南销售部,SALES,专员,华南,ACTIVE
800000002,EMP800000002,徐艳磊,应收管理部,CREDIT,专员,华南,ACTIVE
800000003,EMP800000003,郭军斌,财务共享中心,FINANCE,专员,华东,ACTIVE
800000004,EMP800000004,张琳颖,华南销售部,CREDIT,专员,华东,ACTIVE
800000005,EMP800000005,杨超,信用管理部,CREDIT,专员,华北,ACTIVE
800000006,EMP800000006,吴颖雪,华南销售部,FINANCE,专员,华北,ACTIVE
800000007,EMP800000007,郭斌倩,应收管理部,SALES,专员,华北,ACTIVE
800000008,EMP800000008,赵杰,华东销售部,APPROVER,专员,华北,ACTIVE
800000009,EMP800000009,李倩,财务共享中心,SALES,专员,华北,ACTIVE
800000010,EMP800000010,张静雪,信用管理部,CREDIT,专员,华北,ACTIVE
800000011,EMP800000011,刘艳颖,华东销售部,SALES,专员,华北,ACTIVE
800000012,EMP800000012,王超超,财务共享中心,APPROVER,专员,华东,ACTIVE
800000013,EMP800000013,陈杰凯,风险控制部,FINANCE,专员,西南,ACTIVE
800000014,EMP800000014,李洋,风险控制部,APPROVER,专员,华东,ACTIVE
800000015,EMP800000015,王敏杰,华东销售部,CREDIT,专员,华北,ACTIVE
800000016,EMP800000016,黄涛,风险控制部,CREDIT,专员,华南,ACTIVE
800000017,EMP800000017,黄倩,信用管理部,SALES,专员,华东,ACTIVE
800000018,EMP800000018,郭磊,风险控制部,SALES,专员,华东,ACTIVE
800000019,EMP800000019,周洋涛,应收管理部,CREDIT,专员,华东,ACTIVE
800000020,EMP800000020,吴凯磊,华南销售部,CREDIT,专员,华南,ACTIVE
800000021,EMP800000021,刘倩,信用管理部,CREDIT,专员,华南,ACTIVE
800000022,EMP800000022,赵倩,应收管理部,CREDIT,专员,华北,ACTIVE
800000023,EMP800000023,周颖,财务共享中心,FINANCE,专员,华南,ACTIVE
800000024,EMP800000024,张超娜,风险控制部,FINANCE,专员,华北,ACTIVE
800000025,EMP800000025,马斌斌,华南销售部,APPROVER,专员,西南,ACTIVE
800000026,EMP800000026,王敏,风险控制部,APPROVER,专员,华东,ACTIVE
800000027,EMP800000027,胡伟艳,华东销售部,APPROVER,专员,华东,ACTIVE
800000028,EMP800000028,马艳伟,华东销售部,FINANCE,专员,华东,ACTIVE
800000029,EMP800000029,吴伟,华东销售部,FINANCE,专员,华东,ACTIVE
800000030,EMP800000030,李洋,信用管理部,FINANCE,专员,华东,ACTIVE
800000031,EMP800000031,杨涛,信用管理部,CREDIT,专员,华北,ACTIVE
800000032,EMP800000032,杨艳倩,华东销售部,FINANCE,专员,西南,ACTIVE
800000033,EMP800000033,周勇婷,华东销售部,APPROVER,专员,华北,ACTIVE
800000034,EMP800000034,周勇娜,财务共享中心,SALES,专员,华东,ACTIVE
800000035,EMP800000035,马军,信用管理部,APPROVER,专员,华北,ACTIVE
800000036,EMP800000036,杨倩,华南销售部,SALES,专员,西南,ACTIVE
800000037,EMP800000037,徐斌洋,华东销售部,CREDIT,专员,华南,ACTIVE
800000038,EMP800000038,王雪雪,应收管理部,CREDIT,专员,华东,ACTIVE
800000039,EMP800000039,张军,华东销售部,APPROVER,专员,华南,ACTIVE
800000040,EMP800000040,胡洋,应收管理部,CREDIT,专员,华东,ACTIVE
800000041,EMP800000041,孙峰磊,华南销售部,FINANCE,专员,华北,ACTIVE
800000042,EMP800000042,赵琳雪,华东销售部,CREDIT,专员,华北,ACTIVE
800000043,EMP800000043,黄静,风险控制部,CREDIT,专员,华东,ACTIVE
800000044,EMP800000044,刘琳,风险控制部,CREDIT,专员,西南,ACTIVE
800000045,EMP800000045,黄斌静,华南销售部,APPROVER,专员,西南,ACTIVE
800000046,EMP800000046,胡艳,信用管理部,CREDIT,专员,华东,ACTIVE
800000047,EMP800000047,郭颖,财务共享中心,APPROVER,专员,华南,ACTIVE
800000048,EMP800000048,杨杰军,应收管理部,FINANCE,专员,华南,ACTIVE
800000049,EMP800000049,郭涛,华南销售部,CREDIT,专员,华北,ACTIVE
800000050,EMP800000050,陈勇杰,应收管理部,CREDIT,专员,华南,ACTIVE
800000051,EMP800000051,郭洋,华南销售部,APPROVER,专员,华南,ACTIVE
800000052,EMP800000052,杨伟,风险控制部,SALES,专员,华东,ACTIVE
800000053,EMP800000053,赵杰,华南销售部,FINANCE,专员,华北,ACTIVE
800000054,EMP800000054,陈倩颖,信用管理部,SALES,专员,华北,ACTIVE
800000055,EMP800000055,陈艳雪,应收管理部,SALES,专员,华南,ACTIVE
800000056,EMP800000056,王伟,信用管理部,FINANCE,专员,华南,ACTIVE
800000057,EMP800000057,朱敏,应收管理部,CREDIT,专员,西南,ACTIVE
800000058,EMP800000058,朱峰,应收管理部,CREDIT,专员,华北,ACTIVE
800000059,EMP800000059,胡伟军,华南销售部,CREDIT,专员,华东,ACTIVE
800000060,EMP800000060,杨倩,华南销售部,APPROVER,专员,华东,ACTIVE
800000061,EMP800000061,郭超,应收管理部,APPROVER,专员,华东,ACTIVE
800000062,EMP800000062,朱颖,财务共享中心,FINANCE,专员,西南,ACTIVE
800000063,EMP800000063,孙琳,华南销售部,SALES,专员,华东,ACTIVE
800000064,EMP800000064,黄峰,风险控制部,CREDIT,专员,华北,ACTIVE
800000065,EMP800000065,周琳勇,风险控制部,FINANCE,专员,华东,ACTIVE
800000066,EMP800000066,郭琳,财务共享中心,SALES,专员,华北,ACTIVE
800000067,EMP800000067,朱磊,信用管理部,SALES,专员,华北,ACTIVE
800000068,EMP800000068,黄敏,信用管理部,FINANCE,专员,华南,ACTIVE
800000069,EMP800000069,吴艳静,风险控制部,SALES,专员,华东,ACTIVE
800000070,EMP800000070,徐洋伟,华南销售部,CREDIT,专员,西南,ACTIVE
800000071,EMP800000071,黄琳,应收管理部,APPROVER,专员,华南,ACTIVE
800000072,EMP800000072,马雪,华东销售部,FINANCE,专员,华南,ACTIVE
