id,bank_name,bank_account_num
700001,中国银行,622293061029
700002,建设银行,622296855222
700003,建设银行,622218226216
700004,建设银行,622258182187
700005,工商银行,622261013052
700006,中国银行,622296771671
700007,农业银行,622264846069
700008,中国银行,622213266232
700009,招商银行,622262189347
700010,农业银行,622278854025
700011,农业银行,622256049418
700012,中国银行,622267417180
700013,中国银行,622237337465
700014,农业银行,622277480822
700015,工商银行,622290510204
700016,中国银行,622269103525
700017,农业银行,622271548770
700018,建设银行,622228348326
700019,建设银行,622256453539
700020,工商银行,622273553658
700021,农业银行,622287478196
700022,农业银行,622299144555
700023,中国银行,622295735691
700024,工商银行,622227474047
700025,农业银行,622293559530
700026,中国银行,622267768148
700027,建设银行,622229159788
700028,中国银行,622244819607
700029,工商银行,622279436289
700030,工商银行,622283210295
700031,工商银行,622222808760
700032,招商银行,622243574403
700033,建设银行,622290992090
700034,中国银行,622239853581
700035,中国银行,622246663369
700036,招商银行,622218449765
700037,建设银行,622272106343
700038,中国银行,622281981554
700039,中国银行,622298950816
700040,招商银行,622277843274
700041,工商银行,622247499933
700042,中国银行,622262553348
700043,招商银行,622254006398
700044,建设银行,622246733425
700045,工商银行,622270585909
700046,农业银行,622265412541
700047,农业银行,622292083225
700048,中国银行,622236902174
700049,中国银行,622293986628
700050,招商银行,622224073263
700051,工商银行,622284374591
700052,建设银行,622215962881
700053,工商银行,622280319932
700054,农业银行,622235915332
700055,中国银行,622246777558
700056,工商银行,622294231077
700057,招商银行,622228119876
700058,建设银行,622251401055
700059,农业银行,622278633266
700060,农业银行,622249123200
700061,农业银行,622296205016
700062,建设银行,622230616688
700063,工商银行,622284771587
700064,中国银行,622230210796
700065,中国银行,622226828074
700066,中国银行,622217881998
700067,招商银行,622243321177
700068,中国银行,622247850388
700069,中国银行,622264446042
700070,农业银行,622288909062
700071,建设银行,622277359072
700072,中国银行,622281481773
700073,中国银行,622275904504
700074,招商银行,622257864354
700075,中国银行,622282699136
700076,建设银行,622213835231
700077,招商银行,622260659143
700078,农业银行,622233067983
700079,农业银行,622282613104
700080,农业银行,622277879044
700081,中国银行,622258131370
700082,招商银行,622238155223
700083,工商银行,622237453463
700084,中国银行,622210093876
700085,建设银行,622276044076
700086,工商银行,622263920163
700087,招商银行,622268643214
700088,招商银行,622257731574
700089,工商银行,622276826936
700090,工商银行,622218117550
700091,工商银行,622241854571
700092,建设银行,622210864292
700093,招商银行,622282915494
700094,建设银行,622235211171
700095,工商银行,622288503858
700096,农业银行,622271443701
700097,农业银行,622262941101
700098,农业银行,622273889645
700099,建设银行,622278081552
700100,农业银行,622291566225
